"Fornecedor","Descrição","Preço"
"VIVI","Pão estilo Rugbrot (Pão dinamarquês de centeio e sementes, tipo broa) orgânico em processo de certificação","20,00"
"VIVI","Pão italiano, fermentação natural","17,00"
"VIVI","Pão de Linhaça e Castanhas (Far. Branca, Far. Integral, Linhaça, Castanha do Pará) 750g","18,00"
"VIVI","Pão Rústico de Fubá e açafrão 750g (Far. Branca, Fubá, açafrão e erva doce)","17,00"
"VIVI","Fubá orgânico 1KG","7,00"
"VIVI","FARINHA DE TRIGO ORGÂNICA BRANCA 1KG","7,50"
"VIVI","FARINHA DE TRIGO ORGÂNICA INTEGRAL 1KG (Valor promocional!!!)"," 6,50"
"VIVI","Pão Australiano (Far. Branca, integral, centeio, cacau 100%, açúcar, mel e manteiga)"," 18,00"
"VIVI","Pão Multicerais (far.trigo branca, Far trigo integral, centeio e aveia) 750g","17,00"
"VIVI","Pão Italiano com manjericão 750g (Far Branca, azeite de oliva e manjericão)","18,00"
"VIVI","Pão Integral Linhaça e Castanha (Far. Branca, Integral, linhaça e castanha do Pará)","18,00"
"SUKHAVATI","Anis brasileira orgânico maço","3,00"
"SUKHAVATI","Artemisia orgânica maço","3,00"
"SUKHAVATI","Babosa orgânica 500g","3,00"
"SUKHAVATI","Boldo chinês orgânica maço","3,00"
"SUKHAVATI","Brotos de pinheiro( araucaria) organico maço","3,00"
"SUKHAVATI","Cipó mil homens mc","3,00"
"SUKHAVATI","Capim limão orgânico maço","3,00"
"SUKHAVATI","Capuchinha orgânica maço","3,00"
"SUKHAVATI","Carqueja orgânica maço","3,00"
"SUKHAVATI","Chá de bugre maço","3,00"
"SUKHAVATI","Erva aloisia (Cidrão) orgânica maço","3,00"
"SUKHAVATI","Erva cidreira ( lippia Alba) orgânica maço","3,00"
"SUKHAVATI","Flor agapantus maço","3,00"
"SUKHAVATI","Flor de hortência unidade","3,00"
"SUKHAVATI","Flor de nabo silvestre orgânica maço","3,00"
"SUKHAVATI","Folha de amora orgânica maço","3,00"
"SUKHAVATI","Folhas de alcachofra orgânica maço","3,00"
"SUKHAVATI","Folhas de araçá organico maço","3,00"
